,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
128,Brandon Clarke,PF,23,MEM,50,3,21.7,5.1,8.2,.623,0.4,1.0,.404,4.7,7.1,.654,.648,1.5,1.9,.785,1.6,4.3,5.8,1.4,0.5,0.8,0.9,1.6,12.0
129,Jordan Clarkson,SG,27,TOT,63,0,24.2,5.6,12.0,.465,2.1,5.6,.368,3.5,6.3,.550,.551,1.9,2.3,.841,0.7,1.9,2.7,2.0,0.7,0.2,1.3,1.5,15.1
130,Jordan Clarkson,SG,27,CLE,29,0,23.0,5.0,11.2,.442,2.0,5.5,.371,2.9,5.8,.509,.532,2.6,3.0,.884,0.7,1.7,2.4,2.4,0.6,0.3,1.3,1.1,14.6
131,Jordan Clarkson,SG,27,UTA,34,0,25.3,6.1,12.6,.482,2.1,5.7,.366,4.0,6.9,.579,.566,1.4,1.7,.780,0.8,2.1,2.9,1.6,0.8,0.2,1.3,1.7,15.6
132,Nicolas Claxton,PF,20,BRK,15,0,12.5,1.8,3.2,.563,0.1,0.5,.143,1.7,2.7,.634,.573,0.7,1.4,.524,1.3,1.7,2.9,1.1,0.1,0.5,0.6,0.9,4.4
133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Chris Clemons,SG,22,HOU,29,0,8.7,1.8,4.3,.405,1.1,3.2,.351,0.6,1.1,.563,.536,0.2,0.2,.857,0.1,0.7,0.8,0.8,0.2,0.2,0.6,0.7,4.9
135,Antonius Cleveland,SG,25,DAL,6,0,3.7,0.3,1.0,.333,0.0,0.2,.000,0.3,0.8,.400,.333,0.2,0.3,.500,0.0,0.5,0.5,0.0,0.2,0.2,0.2,0.3,0.8
136,Amir Coffey,SG,22,LAC,13,0,7.5,1.0,2.5,.394,0.1,0.5,.143,0.9,2.0,.462,.409,0.1,0.2,.333,0.3,0.8,1.1,0.7,0.1,0.1,0.2,0.9,2.2
137,John Collins,PF,22,ATL,41,41,33.2,8.6,14.8,.583,1.4,3.6,.401,7.2,11.2,.642,.632,2.9,3.7,.800,2.8,7.3,10.1,1.5,0.8,1.6,1.8,3.4,21.6
138,Zach Collins,PF,22,POR,3,3,28.7,3.0,6.3,.474,1.0,2.3,.429,2.0,4.0,.500,.553,2.0,2.0,1.000,1.3,2.7,4.0,2.0,0.0,0.7,2.0,3.7,9.0
139,Mike Conley,PG,32,UTA,41,35,28.6,4.8,11.9,.405,2.0,5.2,.376,2.9,6.7,.429,.488,2.3,2.9,.795,0.7,2.6,3.2,4.3,0.8,0.1,1.9,2.2,13.8
140,Pat Connaughton,SG,27,MIL,61,1,18.3,2.0,4.3,.456,0.7,2.2,.321,1.2,2.0,.605,.540,0.4,0.6,.750,0.9,3.3,4.2,1.6,0.3,0.5,0.8,1.0,5.1
141,Quinn Cook,PG,26,LAL,38,0,10.8,2.0,4.6,.439,0.7,1.7,.379,1.3,2.8,.477,.512,0.2,0.2,.667,0.2,0.9,1.1,1.1,0.3,0.0,0.7,0.6,4.8
142,Tyler Cook,PF,22,CLE,11,0,3.2,0.6,0.9,.700,0.0,0.0,,0.6,0.9,.700,.700,0.5,0.5,.833,0.4,0.5,0.9,0.1,0.1,0.0,0.1,0.4,1.7
143,Robert Covington,PF,29,TOT,62,60,30.1,4.5,10.5,.432,2.4,6.8,.349,2.1,3.6,.589,.546,1.4,1.7,.796,0.9,5.5,6.4,1.2,1.5,1.3,1.5,3.2,12.8
144,Robert Covington,PF,29,MIN,48,47,29.4,4.5,10.3,.435,2.3,6.5,.346,2.3,3.8,.587,.544,1.6,2.0,.798,0.8,5.2,6.0,1.2,1.7,0.9,1.5,3.1,12.8
145,Robert Covington,PF,29,HOU,14,13,32.6,4.6,10.9,.421,2.9,8.0,.357,1.7,2.9,.600,.553,0.8,1.0,.786,1.3,6.6,7.9,1.3,1.1,2.5,1.4,3.4,12.8
146,Allen Crabbe,SG,27,TOT,37,1,17.6,1.7,4.8,.356,1.0,3.2,.303,0.7,1.6,.466,.458,0.3,0.4,.714,0.3,1.8,2.1,0.9,0.4,0.1,0.5,1.3,4.6
147,Allen Crabbe,SG,27,ATL,28,1,18.6,1.9,5.1,.364,1.1,3.3,.323,0.8,1.8,.440,.469,0.3,0.4,.750,0.4,2.0,2.3,1.0,0.5,0.1,0.4,1.3,5.1
148,Allen Crabbe,SG,27,MIN,9,0,14.6,1.2,3.8,.324,0.7,2.9,.231,0.6,0.9,.625,.412,0.1,0.2,.500,0.1,1.2,1.3,0.6,0.0,0.0,0.6,1.2,3.2
149,Torrey Craig,SF,29,DEN,50,19,17.4,1.9,4.2,.462,0.7,2.2,.330,1.2,2.0,.606,.548,0.4,0.6,.645,1.0,2.2,3.1,0.7,0.4,0.6,0.4,2.2,5.0
150,Jae Crowder,SF,29,TOT,58,46,29.2,3.4,8.8,.384,1.9,6.1,.318,1.4,2.7,.532,.494,1.6,2.1,.785,0.8,5.3,6.1,2.6,1.2,0.4,1.1,2.2,10.4
151,Jae Crowder,SF,29,MEM,45,45,29.4,3.3,8.9,.368,1.7,5.9,.293,1.5,3.0,.519,.466,1.7,2.1,.789,0.9,5.3,6.2,2.8,1.0,0.3,1.2,1.9,9.9
152,Jae Crowder,SF,29,MIA,13,1,28.7,3.8,8.8,.439,2.7,6.8,.393,1.2,1.9,.600,.592,1.5,2.0,.769,0.6,5.2,5.8,2.0,1.5,0.5,0.6,3.2,11.9
153,Jarrett Culver,SG,20,MIN,63,35,23.9,3.7,9.0,.404,1.0,3.5,.299,2.6,5.5,.471,.462,0.9,1.9,.462,1.1,2.3,3.4,1.7,0.9,0.6,1.3,2.0,9.2
154,Seth Curry,SG,29,DAL,59,20,24.5,4.5,9.0,.500,2.3,5.1,.453,2.2,3.9,.560,.628,1.3,1.5,.841,0.4,1.9,2.4,2.0,0.6,0.1,1.0,1.7,12.6
155,Stephen Curry,PG,31,GSW,5,5,27.8,6.6,16.4,.402,2.4,9.8,.245,4.2,6.6,.636,.476,5.2,5.2,1.000,0.8,4.4,5.2,6.6,1.0,0.4,3.2,2.2,20.8
156,Troy Daniels,SG,28,TOT,42,0,10.9,1.5,3.8,.390,1.0,2.7,.354,0.5,1.1,.478,.516,0.2,0.4,.625,0.3,0.8,1.1,0.3,0.2,0.1,0.2,0.7,4.1
157,Troy Daniels,SG,28,LAL,41,0,11.1,1.5,3.9,.392,1.0,2.7,.357,0.5,1.1,.478,.519,0.2,0.4,.625,0.3,0.8,1.1,0.3,0.2,0.1,0.2,0.7,4.2
158,Troy Daniels,SG,28,DEN,1,0,1.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,Anthony Davis,PF,26,LAL,55,55,34.3,9.2,18.1,.511,1.2,3.5,.335,8.1,14.5,.554,.544,7.0,8.3,.845,2.3,7.1,9.4,3.1,1.5,2.4,2.5,2.5,26.7
160,Ed Davis,C,30,UTA,25,0,10.7,0.6,1.4,.412,0.0,0.0,,0.6,1.4,.412,.412,0.2,0.4,.455,1.2,2.6,3.8,0.3,0.4,0.4,0.5,2.2,1.3
161,Terence Davis,SG,22,TOR,64,2,17.0,2.8,6.1,.463,1.4,3.5,.396,1.5,2.6,.550,.575,0.7,0.8,.865,0.7,2.7,3.4,1.7,0.5,0.2,1.0,1.6,7.7
162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Dewayne Dedmon,C,30,TOT,44,18,17.6,2.3,5.8,.400,0.5,2.4,.206,1.8,3.4,.541,.443,0.7,0.8,.833,1.4,4.3,5.7,0.5,0.6,0.9,1.3,3.0,5.8
164,Dewayne Dedmon,C,30,SAC,34,10,15.9,2.0,5.0,.404,0.4,2.1,.197,1.6,2.9,.550,.444,0.7,0.8,.821,1.4,3.6,4.9,0.4,0.4,0.8,1.4,2.7,5.1
165,Dewayne Dedmon,C,30,ATL,10,8,23.3,3.3,8.4,.393,0.8,3.6,.222,2.5,4.8,.521,.440,0.7,0.8,.875,1.4,6.8,8.2,0.7,1.0,1.5,1.0,4.0,8.1
166,Matthew Dellavedova,PG,29,CLE,57,4,14.4,1.1,3.1,.354,0.4,1.6,.231,0.7,1.5,.488,.414,0.6,0.6,.865,0.3,1.0,1.3,3.2,0.4,0.0,1.0,1.4,3.1
167,DeMar DeRozan,SF,30,SAS,61,61,34.3,8.2,15.7,.526,0.1,0.5,.267,8.1,15.2,.535,.530,5.5,6.6,.843,0.6,5.0,5.6,5.6,1.0,0.2,2.4,2.7,22.2
168,Cheick Diallo,C,23,PHO,44,2,10.6,2.0,3.1,.650,0.0,0.0,.500,2.0,3.1,.652,.653,0.7,0.8,.865,0.6,2.3,2.9,0.5,0.2,0.3,0.7,1.2,4.8
169,Hamidou Diallo,SF,21,OKC,38,3,18.4,2.6,5.8,.452,0.2,0.9,.200,2.4,4.8,.500,.468,0.7,1.2,.622,0.8,2.4,3.2,0.6,0.7,0.2,1.0,2.2,6.1
170,Gorgui Dieng,C,30,TOT,58,17,17.4,2.7,5.9,.461,0.9,2.4,.359,1.8,3.5,.532,.535,1.1,1.4,.735,1.5,4.3,5.8,1.2,0.8,1.0,0.9,1.9,7.4
171,Gorgui Dieng,C,30,MIN,46,17,16.9,2.7,6.0,.448,1.0,2.6,.383,1.7,3.4,.497,.531,1.0,1.3,.797,1.6,4.0,5.6,1.3,0.8,0.9,1.0,1.9,7.4
172,Gorgui Dieng,C,30,MEM,12,0,19.5,2.8,5.5,.515,0.4,1.8,.227,2.4,3.7,.659,.553,1.2,2.0,.583,1.2,5.5,6.7,1.1,0.9,1.2,0.9,1.9,7.3
173,Spencer Dinwiddie,SG,26,BRK,64,49,31.2,6.6,16.0,.415,1.9,6.3,.308,4.7,9.7,.485,.476,5.4,7.0,.778,0.5,3.0,3.5,6.8,0.6,0.3,2.7,2.8,20.6
174,Donte DiVincenzo,SG,23,MIL,59,22,23.1,3.5,7.7,.462,1.3,3.7,.344,2.3,3.9,.576,.546,1.0,1.3,.769,1.0,3.9,4.9,2.3,1.4,0.3,1.2,1.6,9.4
175,Luka Dončić,PG,20,DAL,54,54,33.3,9.5,20.6,.461,2.9,9.1,.318,6.6,11.5,.574,.531,6.8,9.1,.752,1.3,8.0,9.3,8.7,1.1,0.2,4.2,2.5,28.7
176,Luguentz Dort,SG,20,OKC,29,21,22.0,2.2,5.4,.414,0.8,2.5,.301,1.5,2.9,.512,.484,1.0,1.2,.778,0.5,1.3,1.9,0.7,0.8,0.1,0.5,2.7,6.2
177,Damyean Dotson,SG,25,NYK,48,0,17.4,2.5,6.0,.414,1.2,3.4,.362,1.3,2.6,.480,.516,0.5,0.7,.667,0.2,1.7,1.9,1.2,0.5,0.1,0.4,0.9,6.7
178,Sekou Doumbouya,SF,19,DET,38,19,19.8,2.4,6.2,.390,0.7,2.6,.286,1.7,3.6,.464,.449,0.8,1.2,.674,0.5,2.6,3.1,0.5,0.5,0.2,0.9,2.1,6.4
179,PJ Dozier,PG,23,DEN,21,0,11.1,1.7,4.3,.396,0.3,1.3,.250,1.4,3.0,.460,.434,0.3,0.5,.636,0.2,1.2,1.4,1.4,0.3,0.2,0.5,1.3,4.1
180,Goran Dragić,PG,33,MIA,54,1,28.4,5.4,12.3,.437,2.2,5.8,.377,3.2,6.5,.491,.526,3.1,4.1,.769,0.5,2.6,3.1,5.1,0.6,0.1,2.5,1.9,16.1
181,Andre Drummond,C,26,TOT,57,56,33.0,7.3,13.8,.533,0.1,0.6,.143,7.2,13.1,.551,.536,3.0,5.2,.575,4.4,10.8,15.2,2.7,1.9,1.6,3.6,3.5,17.7
182,Andre Drummond,C,26,DET,49,48,33.8,7.3,13.9,.530,0.0,0.4,.048,7.3,13.4,.546,.531,3.0,5.2,.584,4.6,11.2,15.8,2.8,2.0,1.7,3.6,3.6,17.8
183,Andre Drummond,C,26,CLE,8,8,28.1,7.3,13.1,.552,0.5,1.8,.286,6.8,11.4,.593,.571,2.5,4.9,.513,3.0,8.1,11.1,1.8,1.5,1.4,3.6,3.1,17.5
184,Jared Dudley,SF,34,LAL,40,1,7.8,0.5,1.3,.400,0.4,0.9,.471,0.1,0.4,.250,.560,0.1,0.1,1.000,0.1,1.0,1.1,0.5,0.3,0.1,0.2,0.9,1.5
185,Kris Dunn,PG,25,CHI,51,32,24.9,3.0,6.7,.444,0.6,2.2,.259,2.4,4.5,.535,.487,0.8,1.1,.741,0.5,3.2,3.6,3.4,2.0,0.3,1.3,3.1,7.3
186,Carsen Edwards,SG,21,BOS,35,0,9.0,1.1,3.2,.327,0.6,1.9,.309,0.5,1.3,.356,.420,0.3,0.4,.846,0.2,1.1,1.2,0.6,0.3,0.1,0.4,0.9,3.0
187,Henry Ellenson,PF,23,BRK,5,0,3.0,0.2,1.4,.143,0.0,0.8,.000,0.2,0.6,.333,.143,0.0,0.0,,0.4,0.8,1.2,0.2,0.0,0.0,0.0,0.2,0.4
188,Wayne Ellington,SG,32,NYK,36,1,15.5,1.7,4.8,.351,1.4,4.0,.350,0.3,0.9,.355,.494,0.3,0.4,.846,0.1,1.7,1.8,1.2,0.4,0.1,0.5,1.1,5.1
189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,Joel Embiid,C,25,PHI,44,44,30.2,7.5,15.9,.474,1.3,3.7,.348,6.3,12.3,.511,.514,7.1,8.7,.814,2.8,9.0,11.8,3.1,0.9,1.3,3.1,3.4,23.4
191,James Ennis,SF,29,TOT,61,10,17.3,2.1,4.8,.435,0.8,2.3,.338,1.3,2.5,.523,.515,1.0,1.3,.808,1.0,2.3,3.3,0.9,0.5,0.3,0.7,1.8,6.0
192,James Ennis,SF,29,PHI,49,0,15.8,2.0,4.6,.442,0.8,2.2,.349,1.3,2.4,.525,.524,1.0,1.2,.787,1.0,2.1,3.1,0.8,0.5,0.3,0.6,1.7,5.8
193,James Ennis,SF,29,ORL,12,10,23.1,2.3,5.7,.412,0.8,2.8,.303,1.5,2.9,.514,.485,1.3,1.4,.882,1.1,3.0,4.1,1.1,0.5,0.5,1.0,2.0,6.8
194,Drew Eubanks,PF,22,SAS,14,3,9.3,1.5,2.0,.750,0.1,0.1,1.000,1.4,1.9,.741,.768,0.6,0.8,.727,0.6,1.9,2.5,0.4,0.1,0.4,0.7,1.5,3.6
195,Jacob Evans,SG,22,TOT,29,1,14.4,1.6,4.6,.336,0.4,1.3,.333,1.1,3.3,.337,.384,0.9,1.0,.862,0.3,1.1,1.4,1.1,0.4,0.4,0.9,1.4,4.4
196,Jacob Evans,SG,22,GSW,27,1,15.3,1.7,4.9,.338,0.5,1.4,.342,1.2,3.5,.337,.387,0.9,1.1,.862,0.3,1.2,1.5,1.1,0.4,0.4,0.9,1.5,4.7
197,Jacob Evans,SG,22,MIN,2,0,2.0,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,Dante Exum,SG,24,TOT,35,1,13.9,1.6,3.4,.471,0.4,1.2,.349,1.2,2.2,.539,.534,0.9,1.2,.744,0.3,1.6,1.9,1.1,0.4,0.2,0.9,1.1,4.5
199,Dante Exum,SG,24,UTA,11,0,7.5,0.9,2.1,.435,0.2,0.5,.333,0.7,1.5,.471,.478,0.2,0.2,1.000,0.3,0.8,1.1,0.6,0.1,0.2,0.9,0.7,2.2
200,Dante Exum,SG,24,CLE,24,1,16.8,1.9,4.0,.479,0.5,1.5,.351,1.4,2.5,.559,.547,1.3,1.7,.732,0.4,1.9,2.3,1.4,0.5,0.3,0.9,1.3,5.6
201,Tacko Fall,C,24,BOS,6,0,4.0,1.5,2.0,.750,0.0,0.0,,1.5,2.0,.750,.750,0.2,0.5,.333,0.0,1.8,1.8,0.0,0.0,0.3,0.5,0.8,3.2
202,Derrick Favors,C,28,NOP,45,43,24.2,4.2,6.8,.620,0.0,0.2,.143,4.2,6.6,.631,.621,0.8,1.4,.581,3.3,6.6,9.9,1.7,0.6,1.0,1.1,2.2,9.2
203,Cristiano Felício,PF,27,CHI,22,0,17.5,1.5,2.5,.630,0.0,0.1,.000,1.5,2.4,.654,.630,0.8,1.0,.783,2.5,2.1,4.6,0.7,0.5,0.1,0.8,1.5,3.9
204,Terrance Ferguson,SF,21,OKC,50,37,23.4,1.5,4.0,.372,0.9,3.1,.297,0.6,0.9,.636,.487,0.3,0.4,.789,0.5,1.0,1.5,0.9,0.5,0.3,0.6,2.9,4.2
205,Bruno Fernando,C,21,ATL,56,13,12.7,1.8,3.6,.518,0.1,0.7,.135,1.8,2.9,.605,.530,0.5,0.9,.569,1.2,2.3,3.5,0.9,0.3,0.3,0.8,1.9,4.3
206,Yogi Ferrell,PG,26,SAC,44,0,11.0,1.5,3.8,.396,0.4,1.6,.275,1.1,2.3,.480,.453,0.7,0.8,.865,0.1,1.0,1.1,1.3,0.3,0.1,0.6,0.7,4.2
207,Dorian Finney-Smith,PF,26,DAL,64,61,29.7,3.3,7.1,.468,1.5,4.1,.374,1.8,3.0,.599,.577,1.1,1.5,.722,2.0,3.5,5.5,1.5,0.7,0.6,1.0,2.4,9.3
208,Bryn Forbes,SG,26,SAS,63,62,25.1,3.8,9.2,.417,2.3,6.0,.388,1.5,3.2,.470,.544,1.2,1.4,.833,0.2,1.8,2.0,1.7,0.5,0.0,0.9,1.8,11.2
209,Evan Fournier,SG,27,ORL,61,61,31.7,6.7,14.2,.470,2.7,6.7,.406,4.0,7.6,.525,.564,2.8,3.4,.820,0.3,2.3,2.6,3.2,1.1,0.2,2.0,2.4,18.8
210,De'Aaron Fox,PG,22,SAC,45,43,31.7,7.3,15.4,.475,1.0,3.4,.307,6.3,12.0,.523,.509,4.8,6.8,.703,0.7,3.4,4.0,6.8,1.4,0.5,3.1,2.9,20.4
211,Melvin Frazier,SG,23,ORL,15,0,3.4,0.4,1.1,.353,0.3,0.5,.571,0.1,0.7,.200,.471,0.1,0.3,.500,0.1,0.2,0.3,0.1,0.3,0.1,0.2,0.5,1.2
212,Michael Frazier,SG,25,HOU,8,0,8.3,0.5,1.4,.364,0.3,1.0,.250,0.3,0.4,.667,.455,0.5,0.8,.667,0.1,0.3,0.4,0.1,0.3,0.0,0.3,1.6,1.8
213,Tim Frazier,PG,29,DET,27,11,13.1,1.3,3.5,.362,0.4,1.1,.333,0.9,2.4,.375,.415,0.7,0.9,.792,0.3,0.9,1.2,3.4,0.5,0.1,1.3,1.6,3.6
214,Markelle Fultz,PG,21,ORL,64,59,28.3,5.0,10.6,.473,0.5,1.8,.254,4.5,8.7,.520,.496,1.6,2.2,.723,0.5,2.8,3.3,5.2,1.3,0.2,2.0,2.0,12.1
215,Wenyen Gabriel,PF,22,TOT,28,1,7.5,0.7,1.6,.435,0.2,0.7,.300,0.5,0.9,.538,.500,0.5,0.7,.700,0.6,1.0,1.6,0.3,0.4,0.2,0.6,1.3,2.1
216,Wenyen Gabriel,PF,22,SAC,11,0,5.5,0.5,1.5,.353,0.1,0.7,.125,0.5,0.8,.556,.382,0.5,0.9,.600,0.4,0.5,0.9,0.3,0.3,0.2,0.5,0.6,1.7
217,Wenyen Gabriel,PF,22,POR,17,1,8.8,0.8,1.7,.483,0.3,0.7,.417,0.5,1.0,.529,.569,0.5,0.6,.800,0.8,1.3,2.1,0.3,0.4,0.2,0.6,1.6,2.4
218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,Daniel Gafford,C,21,CHI,43,7,14.2,2.2,3.1,.701,0.0,0.0,,2.2,3.1,.701,.701,0.7,1.4,.533,1.2,1.3,2.5,0.5,0.3,1.3,0.7,2.3,5.1
220,Danilo Gallinari,PF,31,OKC,55,55,30.7,6.0,13.6,.439,3.0,7.3,.409,3.0,6.3,.474,.549,4.3,4.8,.886,0.6,4.9,5.5,2.1,0.7,0.1,1.3,1.2,19.2
221,Langston Galloway,SG,28,DET,66,6,25.8,3.6,8.2,.435,2.0,5.0,.399,1.6,3.2,.493,.557,1.1,1.3,.859,0.5,1.8,2.3,1.5,0.7,0.2,0.6,1.5,10.3
222,Darius Garland,PG,20,CLE,59,59,30.9,4.7,11.8,.401,1.8,5.0,.355,3.0,6.8,.434,.476,1.1,1.2,.875,0.5,1.4,1.9,3.9,0.7,0.1,2.6,1.6,12.3
223,Marc Gasol,C,35,TOR,36,35,27.5,2.8,6.6,.419,1.4,3.5,.402,1.3,3.0,.440,.528,0.7,1.0,.722,0.8,5.5,6.3,3.4,0.8,0.9,1.2,2.8,7.6
224,Rudy Gay,PF,33,SAS,60,5,21.5,3.7,8.4,.442,1.0,3.1,.314,2.7,5.3,.517,.500,1.7,1.9,.876,0.9,4.4,5.4,1.7,0.4,0.5,1.3,1.5,10.0
225,Paul George,SF,29,LAC,42,42,29.1,6.9,16.0,.432,3.2,7.9,.399,3.8,8.1,.463,.530,3.9,4.5,.882,0.5,5.2,5.7,3.9,1.3,0.5,2.7,2.4,21.0
226,Taj Gibson,C,34,NYK,62,56,16.5,2.7,4.6,.584,0.1,0.2,.286,2.6,4.4,.599,.591,0.7,0.9,.732,1.8,2.5,4.3,0.8,0.4,0.5,0.8,2.0,6.1
227,Harry Giles,PF,21,SAC,38,17,15.2,3.1,5.4,.560,0.0,0.0,,3.1,5.4,.560,.560,0.9,1.1,.767,0.9,3.3,4.2,1.3,0.6,0.4,0.9,2.6,7.0
228,Shai Gilgeous-Alexander,SG,21,OKC,63,63,35.1,7.0,14.8,.473,1.2,3.5,.351,5.8,11.3,.511,.514,4.0,5.0,.801,0.7,5.4,6.1,3.3,1.1,0.7,1.9,1.7,19.3
229,Rudy Gobert,C,27,UTA,62,62,34.5,5.7,8.2,.698,0.0,0.0,,5.7,8.2,.698,.698,3.7,5.9,.621,3.4,10.3,13.7,1.5,0.8,2.0,1.9,3.2,15.1
230,Brandon Goodwin,PG,24,ATL,34,1,12.6,2.2,5.6,.400,0.8,2.6,.299,1.5,3.0,.485,.468,0.8,0.9,.933,0.3,1.8,2.1,1.5,0.4,0.1,0.9,1.3,6.1
231,Aaron Gordon,PF,24,ORL,58,58,33.0,5.4,12.5,.433,1.2,3.9,.301,4.2,8.6,.492,.479,2.4,3.5,.675,1.8,5.8,7.6,3.7,0.9,0.6,1.6,2.0,14.4
232,Eric Gordon,SG,31,HOU,34,13,28.6,4.8,12.9,.370,2.7,8.5,.319,2.1,4.4,.467,.475,2.3,3.0,.757,0.2,1.7,1.9,1.5,0.6,0.4,1.1,2.0,14.5
233,Devonte' Graham,PG,24,CHO,63,53,35.1,5.8,15.3,.382,3.5,9.3,.373,2.4,6.0,.397,.495,3.0,3.7,.820,0.7,2.7,3.4,7.5,1.0,0.2,2.9,1.8,18.2
234,Treveon Graham,SG,26,TOT,55,20,16.9,1.6,4.4,.360,0.6,2.2,.275,1.0,2.2,.443,.428,0.7,1.0,.643,0.9,1.8,2.7,0.8,0.4,0.1,0.5,1.9,4.4
235,Treveon Graham,SG,26,MIN,33,20,20.1,1.9,5.3,.354,0.6,2.5,.241,1.3,2.8,.457,.411,0.8,1.1,.730,0.9,2.2,3.0,0.9,0.5,0.1,0.6,2.0,5.2
236,Treveon Graham,SG,26,ATL,22,0,12.1,1.1,3.0,.373,0.6,1.7,.351,0.5,1.4,.400,.470,0.4,0.9,.474,1.0,1.3,2.3,0.7,0.3,0.2,0.5,1.6,3.3
237,Jerami Grant,PF,25,DEN,64,22,26.2,4.1,8.7,.471,1.4,3.4,.400,2.7,5.3,.518,.550,2.0,2.7,.744,0.8,2.7,3.5,1.2,0.7,0.8,0.9,2.2,11.6
238,Josh Gray,PG,26,NOP,2,0,11.5,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.0,0.0,,0.5,0.5,1.0,1.0,0.0,0.0,2.5,0.5,1.0
239,Danny Green,SG,32,LAL,61,61,25.1,2.9,7.0,.419,1.9,4.9,.378,1.1,2.1,.516,.552,0.5,0.7,.727,0.7,2.7,3.4,1.4,1.2,0.5,0.9,2.1,8.2
240,Draymond Green,PF,29,GSW,43,43,28.4,2.9,7.3,.389,0.8,3.0,.279,2.0,4.3,.465,.446,1.5,1.9,.759,0.5,5.7,6.2,6.2,1.4,0.8,2.3,2.6,8.0
241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,JaMychal Green,PF,29,LAC,55,0,20.5,2.3,5.5,.414,1.3,3.7,.363,0.9,1.8,.520,.536,0.6,0.8,.727,1.4,5.0,6.3,0.8,0.5,0.4,0.8,2.7,6.5
243,Javonte Green,SF,26,BOS,44,1,9.4,1.1,2.2,.500,0.1,0.5,.261,1.0,1.7,.573,.531,0.5,0.8,.639,0.4,1.4,1.8,0.5,0.5,0.2,0.4,0.8,2.9
244,Jeff Green,PF,33,TOT,40,2,18.9,2.9,6.5,.444,1.2,3.5,.348,1.7,3.1,.553,.536,1.4,1.8,.781,0.6,2.3,2.8,0.8,0.5,0.4,0.9,1.6,8.4
245,Jeff Green,PF,33,UTA,30,2,18.4,2.5,6.5,.385,1.1,3.5,.327,1.4,3.0,.451,.472,1.6,2.1,.778,0.5,2.2,2.7,0.7,0.4,0.3,0.9,1.5,7.8
246,Jeff Green,PF,33,HOU,10,0,20.1,4.1,6.6,.621,1.4,3.4,.412,2.7,3.2,.844,.727,0.8,1.0,.800,0.9,2.3,3.2,1.2,0.9,0.5,0.9,1.9,10.4
247,Blake Griffin,PF,30,DET,18,18,28.4,4.9,13.9,.352,1.5,6.2,.243,3.4,7.7,.439,.406,4.2,5.4,.776,0.9,3.7,4.7,3.3,0.4,0.4,2.2,1.5,15.5
248,Marko Guduric,SG,24,MEM,42,0,11.3,1.5,3.7,.396,0.6,1.9,.309,0.9,1.7,.493,.477,0.5,0.6,.920,0.3,1.4,1.7,1.1,0.3,0.2,0.9,0.8,4.0
249,Kyle Guy,SG,22,SAC,2,0,2.0,0.5,1.0,.500,0.0,0.5,.000,0.5,0.5,1.000,.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
250,Rui Hachimura,PF,21,WAS,41,41,29.7,5.3,11.1,.478,0.5,1.8,.274,4.8,9.3,.517,.500,2.2,2.7,.829,1.5,4.5,6.0,1.7,0.8,0.2,1.0,2.2,13.4
251,Devon Hall,SG,24,OKC,5,0,4.0,0.2,1.0,.200,0.0,0.4,.000,0.2,0.6,.333,.200,0.6,0.8,.750,0.0,0.2,0.2,0.6,0.0,0.0,0.2,0.2,1.0
252,Donta Hall,PF,22,DET,4,0,12.0,0.3,1.0,.250,0.0,0.0,,0.3,1.0,.250,.250,1.0,1.5,.667,1.5,2.3,3.8,0.5,0.3,0.3,0.5,2.3,1.5
253,Dusty Hannahs,SG,26,MEM,2,0,6.5,2.0,4.5,.444,1.0,1.5,.667,1.0,3.0,.333,.556,1.0,1.0,1.000,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,6.0
254,Tim Hardaway Jr.,SG,27,DAL,63,50,28.8,5.5,12.6,.437,2.9,7.2,.407,2.6,5.3,.478,.554,1.9,2.4,.801,0.4,2.8,3.1,2.0,0.6,0.1,1.0,1.7,15.8
255,James Harden,SG,30,HOU,61,61,36.7,9.9,22.7,.435,4.4,12.6,.352,5.4,10.1,.538,.533,10.1,11.8,.861,1.0,5.3,6.4,7.4,1.7,0.9,4.5,3.4,34.4
256,Maurice Harkless,SF,26,TOT,62,48,23.0,2.3,4.6,.502,0.5,1.6,.347,1.7,3.0,.584,.562,0.6,1.1,.591,0.9,3.0,3.9,1.1,0.9,0.5,0.9,2.4,5.8
